DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Distrito Federal
Casos Prováveis por Semana epidem. notificação e Faixa Etária
Período:2019
"Semana epidem. notificação";"Em branco/IGN";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"Semana 01";-;1;2;3;5;7;38;43;-;-;1;-;100
"Semana 02";-;1;2;5;4;14;63;45;-;2;-;1;137
"Semana 03";-;4;3;9;6;10;53;44;7;1;3;1;141
"Semana 04";-;1;3;3;13;19;93;44;-;1;5;1;183
"Semana 05";1;2;11;10;23;22;120;81;13;6;6;5;300
"Semana 06";-;8;9;14;16;36;170;125;14;9;6;1;408
"Semana 07";-;9;13;17;21;43;183;135;21;8;9;4;463
"Semana 08";-;7;13;13;63;55;251;189;25;12;8;2;638
"Semana 09";-;13;27;30;54;58;311;184;22;12;9;5;725
"Semana 10";1;6;12;20;23;59;250;161;19;17;9;5;582
"Semana 11";-;6;21;49;58;89;351;255;30;13;17;8;897
"Semana 12";-;22;28;52;89;111;482;349;37;13;26;10;1219
"Semana 13";-;19;39;56;111;143;542;387;41;25;27;9;1399
"Semana 14";-;24;40;71;103;165;618;405;47;41;23;9;1546
"Semana 15";-;16;39;50;108;152;589;444;54;34;27;8;1521
"Semana 16";2;19;22;31;78;121;427;351;48;27;19;6;1151
"Semana 17";1;32;33;82;129;200;709;512;77;35;40;17;1867
"Semana 18";-;28;48;93;122;184;731;555;61;46;35;14;1917
"Semana 19";1;29;41;84;125;191;691;475;59;50;49;11;1806
"Semana 20";1;35;43;93;161;204;883;603;75;54;57;17;2226
"Semana 21";1;35;52;132;213;261;1098;759;90;62;59;21;2783
"Semana 22";2;49;84;162;285;344;1430;948;121;69;75;24;3593
"Semana 23";-;48;69;146;239;291;1260;821;115;73;66;24;3152
"Semana 24";2;55;79;130;186;232;1018;615;88;47;36;13;2501
"Semana 25";2;37;56;89;125;135;611;421;64;39;29;10;1618
"Semana 26";-;31;40;79;100;87;444;257;32;20;29;10;1129
"Semana 27";-;18;29;48;59;75;322;243;33;18;13;6;864
"Semana 28";1;17;16;34;40;37;190;110;11;7;10;2;475
"Semana 29";-;9;14;18;24;43;153;91;8;6;3;2;371
"Semana 30";-;6;8;11;15;17;89;53;4;1;1;2;207
"Semana 31";-;5;8;10;13;24;85;48;6;5;5;-;209
"Semana 32";-;2;4;12;9;19;66;27;4;4;4;3;154
"Semana 33";1;4;6;6;5;17;61;41;4;4;3;1;153
"Semana 34";-;6;8;9;6;14;40;26;3;2;1;1;116
"Semana 35";-;-;4;6;9;4;48;13;4;1;2;1;92
"Semana 36";-;7;5;6;1;7;39;30;1;-;1;-;97
"Semana 37";-;1;4;11;3;14;34;22;4;1;2;-;96
"Semana 38";-;-;6;12;8;10;32;20;8;-;4;-;100
"Semana 39";-;1;9;11;10;15;33;13;2;2;2;2;100
"Semana 40";-;4;9;13;20;20;48;17;1;1;-;1;134
"Semana 41";-;6;8;17;16;16;51;19;1;2;2;3;141
"Semana 42";-;3;9;13;13;9;44;17;3;1;1;-;113
"Semana 43";-;1;6;16;9;9;45;16;2;-;-;-;104
"Semana 44";-;9;12;10;8;9;47;11;2;1;5;3;117
"Semana 45";-;4;5;14;11;14;47;29;1;-;2;1;128
"Semana 46";-;9;8;6;8;12;42;16;1;-;3;-;105
"Semana 47";-;5;15;16;11;10;50;25;5;-;2;2;141
"Semana 48";-;2;5;11;7;11;48;30;3;-;1;-;118
"Semana 49";-;7;9;8;11;10;43;18;-;1;3;3;113
"Semana 50";-;3;8;9;4;7;64;29;4;2;2;-;132
"Semana 51";-;7;9;4;12;20;75;33;10;4;5;4;183
"Semana 52";-;6;4;7;10;9;37;37;5;2;2;-;119
"Total";16;679;1057;1861;2802;3685;15249;10242;1290;781;749;273;38684
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, inclusive os casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 *Data da publicação dos dados 11/2020.
 
