DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Distrito Federal
Casos Prováveis por Semana epidem. notificação e Escolaridade
Período:2016
"Semana epidem. notificação";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"Semana 01";267;1;2;3;8;2;8;18;2;5;22;338
"Semana 02";340;-;1;7;10;2;6;17;4;6;16;409
"Semana 03";334;-;4;3;7;8;10;11;9;9;23;418
"Semana 04";412;-;9;2;17;3;13;24;5;14;29;528
"Semana 05";604;-;13;8;20;5;11;24;8;16;70;779
"Semana 06";692;-;9;2;14;23;24;29;5;10;70;878
"Semana 07";882;1;11;12;29;19;28;46;9;21;102;1160
"Semana 08";911;3;12;8;36;16;41;41;12;12;98;1190
"Semana 09";1149;2;16;12;30;24;17;48;3;21;82;1404
"Semana 10";967;1;11;10;33;23;23;27;15;13;69;1192
"Semana 11";948;4;14;9;37;19;26;46;13;23;62;1201
"Semana 12";674;-;15;15;27;19;25;45;14;16;58;908
"Semana 13";783;2;19;11;34;14;22;49;5;9;74;1022
"Semana 14";666;2;5;6;16;11;18;31;11;11;50;827
"Semana 15";620;-;7;11;26;35;11;31;12;10;42;805
"Semana 16";492;-;9;3;14;5;9;26;6;9;29;602
"Semana 17";614;-;6;5;11;5;8;24;5;6;34;718
"Semana 18";412;-;4;6;26;27;13;21;6;8;22;545
"Semana 19";438;-;7;-;10;19;9;13;8;3;23;530
"Semana 20";297;2;7;3;8;8;10;17;4;9;36;401
"Semana 21";242;-;1;5;4;6;5;8;5;3;14;293
"Semana 22";248;-;3;2;7;6;7;6;1;9;15;304
"Semana 23";170;-;10;6;6;3;4;13;2;11;12;237
"Semana 24";206;-;3;2;3;2;3;9;2;1;18;249
"Semana 25";135;-;3;-;6;2;-;4;1;-;14;165
"Semana 26";93;-;3;-;6;1;-;-;1;4;16;124
"Semana 27";54;-;1;1;4;3;2;-;-;2;11;78
"Semana 28";69;1;3;-;2;1;1;2;-;2;3;84
"Semana 29";61;-;-;-;1;-;3;-;-;3;7;75
"Semana 30";82;-;1;-;-;-;-;2;-;-;12;97
"Semana 31";38;-;-;-;-;-;-;3;1;-;4;46
"Semana 32";23;-;-;-;-;-;-;-;1;2;1;27
"Semana 33";20;-;1;-;1;-;-;-;1;-;2;25
"Semana 34";48;-;-;-;-;1;-;-;-;-;2;51
"Semana 35";21;-;-;-;1;-;-;1;-;-;-;23
"Semana 36";14;-;1;-;1;-;-;-;1;2;1;20
"Semana 37";10;-;2;3;3;3;-;1;-;-;7;29
"Semana 38";11;-;1;-;1;-;-;1;-;1;4;19
"Semana 39";14;-;2;3;-;2;-;2;1;-;3;27
"Semana 40";18;-;2;2;1;-;-;1;-;1;5;30
"Semana 41";9;-;-;-;-;-;-;-;1;1;-;11
"Semana 42";10;-;-;-;-;-;-;1;-;2;5;18
"Semana 43";9;-;1;-;1;-;1;-;-;1;4;17
"Semana 44";12;-;1;-;-;1;1;-;-;-;2;17
"Semana 45";16;-;-;-;1;1;-;1;-;2;-;21
"Semana 46";13;-;1;-;-;-;-;-;-;-;1;15
"Semana 47";15;1;1;-;-;1;1;2;-;-;4;25
"Semana 48";17;-;-;-;-;-;-;-;1;1;5;24
"Semana 49";25;-;-;2;-;-;1;1;-;-;3;32
"Semana 50";26;-;-;-;1;3;1;-;1;-;4;36
"Semana 51";28;-;-;-;-;-;2;-;-;2;1;33
"Semana 52";28;-;-;-;-;-;-;-;-;1;4;33
"Total";14287;20;222;162;463;323;364;646;176;282;1195;18140
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, inclusive os casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 *Data da publicação dos dados 11/2020.
 
