DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Distrito Federal
Casos Prováveis por Semana epidem. notificação e Escolaridade
Período:2014
"Semana epidem. notificação";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"Semana 01";18;-;-;-;2;-;1;-;-;1;-;22
"Semana 02";97;-;5;-;1;2;3;4;1;-;4;117
"Semana 03";87;1;2;3;-;5;2;2;1;2;6;111
"Semana 04";145;-;4;2;4;4;3;11;1;3;14;191
"Semana 05";140;1;5;1;2;2;5;4;1;7;12;180
"Semana 06";295;-;1;1;5;1;2;6;3;6;22;342
"Semana 07";380;-;5;2;11;5;8;13;6;2;30;462
"Semana 08";162;1;4;1;5;2;2;4;2;3;13;199
"Semana 09";177;1;4;2;2;3;3;7;4;3;14;220
"Semana 10";171;-;3;1;1;-;1;3;-;-;9;189
"Semana 11";219;1;2;2;5;3;5;8;2;1;15;263
"Semana 12";180;-;2;1;7;3;3;11;5;8;12;232
"Semana 13";203;1;11;3;15;1;4;8;3;6;13;268
"Semana 14";277;1;5;-;11;1;6;15;5;5;25;351
"Semana 15";377;1;9;-;19;4;10;9;3;4;23;459
"Semana 16";396;2;10;5;16;6;5;20;4;5;38;507
"Semana 17";426;-;12;6;19;5;8;14;5;6;24;525
"Semana 18";434;-;14;5;11;4;6;27;7;6;32;546
"Semana 19";599;-;8;4;26;11;19;22;12;11;28;740
"Semana 20";541;1;13;6;28;5;13;18;3;11;41;680
"Semana 21";691;-;16;5;30;6;15;23;9;13;40;848
"Semana 22";669;-;8;5;16;4;18;19;5;8;36;788
"Semana 23";515;-;7;8;24;12;6;20;7;9;44;652
"Semana 24";385;-;6;3;2;4;8;8;2;8;28;454
"Semana 25";271;-;1;1;8;8;9;9;1;3;28;339
"Semana 26";339;1;3;1;3;3;2;5;2;-;28;387
"Semana 27";239;-;4;1;6;1;5;7;2;3;16;284
"Semana 28";282;-;5;1;8;4;3;5;2;1;23;334
"Semana 29";278;1;3;3;5;1;4;7;-;1;17;320
"Semana 30";216;-;-;-;4;-;2;3;-;1;19;245
"Semana 31";193;1;1;2;1;1;2;3;2;3;9;218
"Semana 32";76;1;2;-;1;-;2;3;1;3;5;94
"Semana 33";48;-;-;1;4;-;-;1;-;-;7;61
"Semana 34";93;-;1;-;1;-;1;2;1;-;6;105
"Semana 35";51;-;2;-;-;-;-;-;-;-;1;54
"Semana 36";41;-;1;-;-;1;1;-;1;-;4;49
"Semana 37";25;-;-;-;-;-;-;-;1;-;-;26
"Semana 38";26;-;-;-;-;-;-;1;-;-;1;28
"Semana 39";16;-;-;1;-;-;-;-;-;-;4;21
"Semana 40";24;-;-;-;-;-;-;-;-;-;3;27
"Semana 41";9;-;-;-;-;-;-;-;-;-;1;10
"Semana 42";2;-;-;-;1;-;-;-;-;1;1;5
"Semana 43";5;-;1;-;-;-;-;-;-;-;-;6
"Semana 44";5;-;-;-;-;-;-;-;-;-;-;5
"Semana 45";8;-;1;-;-;-;-;3;-;-;-;12
"Semana 46";16;-;-;-;-;-;-;-;-;-;2;18
"Semana 47";23;-;-;-;-;-;-;-;1;1;3;28
"Semana 48";11;-;-;-;-;1;-;-;-;-;3;15
"Semana 49";17;-;-;-;-;-;-;1;-;-;3;21
"Semana 50";12;-;-;-;2;1;2;-;-;-;7;24
"Semana 51";7;-;1;-;1;1;-;1;-;-;2;13
"Semana 52";17;-;-;-;1;-;1;-;-;1;2;22
"Semana 53";16;-;-;-;-;2;-;-;2;-;1;21
"Total";9950;15;182;77;308;117;190;327;107;146;719;12138
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de indivíduos residentes no Brasil, inclusive os casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 *Data da publicação dos dados 11/2020.
 
